Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,/Inv_Out,Delay
228,C1,608e-3,28,150,,,1.092e-9
229,C0,608e-3,29,-40,,,1.075e-9
229,C1,608e-3,29,150,,,1.158e-9
230,C0,608e-3,30,-40,,,1.021e-9
230,C1,608e-3,30,150,,,1.112e-9
231,C0,608e-3,31,-40,,,1.047e-9
231,C1,608e-3,31,150,,,1.127e-9
232,C0,608e-3,32,-40,,,1.06e-9
232,C1,608e-3,32,150,,,1.153e-9
233,C0,608e-3,33,-40,,,1.095e-9
233,C1,608e-3,33,150,,,1.173e-9
234,C0,608e-3,34,-40,,,1.04e-9
234,C1,608e-3,34,150,,,1.113e-9
235,C0,608e-3,35,-40,,,1.025e-9
235,C1,608e-3,35,150,,,1.111e-9
236,C0,608e-3,36,-40,,,1.097e-9
236,C1,608e-3,36,150,,,1.197e-9
237,C0,608e-3,37,-40,,,1.025e-9
237,C1,608e-3,37,150,,,1.107e-9
238,C0,608e-3,38,-40,,,1.059e-9
238,C1,608e-3,38,150,,,1.147e-9
239,C0,608e-3,39,-40,,,992.2e-12
239,C1,608e-3,39,150,,,1.077e-9
240,C0,608e-3,40,-40,,,1.085e-9
240,C1,608e-3,40,150,,,1.179e-9
241,C0,608e-3,41,-40,,,1.018e-9
241,C1,608e-3,41,150,,,1.114e-9
242,C0,608e-3,42,-40,,,1.05e-9
242,C1,608e-3,42,150,,,1.137e-9
243,C0,608e-3,43,-40,,,965.5e-12
243,C1,608e-3,43,150,,,1.046e-9
244,C0,608e-3,44,-40,,,1.052e-9
244,C1,608e-3,44,150,,,1.144e-9
245,C0,608e-3,45,-40,,,1.077e-9
245,C1,608e-3,45,150,,,1.155e-9
246,C0,608e-3,46,-40,,,1.036e-9
246,C1,608e-3,46,150,,,1.106e-9
247,C0,608e-3,47,-40,,,1.013e-9
247,C1,608e-3,47,150,,,1.094e-9
248,C0,608e-3,48,-40,,,1.052e-9
248,C1,608e-3,48,150,,,1.141e-9
249,C0,608e-3,49,-40,,,1.036e-9
249,C1,608e-3,49,150,,,1.134e-9
250,C0,608e-3,50,-40,,,1.05e-9
250,C1,608e-3,50,150,,,1.14e-9
251,C0,608e-3,51,-40,,,1.072e-9
251,C1,608e-3,51,150,,,1.143e-9
252,C0,608e-3,52,-40,,,1.046e-9
252,C1,608e-3,52,150,,,1.136e-9
253,C0,608e-3,53,-40,,,958.8e-12
253,C1,608e-3,53,150,,,1.02e-9
254,C0,608e-3,54,-40,,,1.054e-9
254,C1,608e-3,54,150,,,1.13e-9
255,C0,608e-3,55,-40,,,1.035e-9
255,C1,608e-3,55,150,,,1.13e-9
256,C0,608e-3,56,-40,,,1.048e-9
256,C1,608e-3,56,150,,,1.138e-9
257,C0,608e-3,57,-40,,,1.043e-9
257,C1,608e-3,57,150,,,1.144e-9
258,C0,608e-3,58,-40,,,1.061e-9
258,C1,608e-3,58,150,,,1.134e-9
259,C0,608e-3,59,-40,,,1.044e-9
259,C1,608e-3,59,150,,,1.136e-9
260,C0,608e-3,60,-40,,,1.055e-9
260,C1,608e-3,60,150,,,1.147e-9
261,C0,608e-3,61,-40,,,1.04e-9
261,C1,608e-3,61,150,,,1.135e-9
262,C0,608e-3,62,-40,,,1.049e-9
262,C1,608e-3,62,150,,,1.139e-9
263,C0,608e-3,63,-40,,,916.2e-12
263,C1,608e-3,63,150,,,970.9e-12
264,C0,608e-3,64,-40,,,1.107e-9
264,C1,608e-3,64,150,,,1.204e-9
265,C0,608e-3,65,-40,,,1.035e-9
265,C1,608e-3,65,150,,,1.123e-9
266,C0,608e-3,66,-40,,,1.027e-9
266,C1,608e-3,66,150,,,1.129e-9
267,C0,608e-3,67,-40,,,1.049e-9
267,C1,608e-3,67,150,,,1.126e-9
268,C0,608e-3,68,-40,,,1.038e-9
268,C1,608e-3,68,150,,,1.142e-9
269,C0,608e-3,69,-40,,,1.063e-9
269,C1,608e-3,69,150,,,1.142e-9
270,C0,608e-3,70,-40,,,971.9e-12
270,C1,608e-3,70,150,,,1.039e-9
271,C0,608e-3,71,-40,,,1.056e-9
271,C1,608e-3,71,150,,,1.143e-9
272,C0,608e-3,72,-40,,,1.047e-9
272,C1,608e-3,72,150,,,1.144e-9
273,C0,608e-3,73,-40,,,1.065e-9
273,C1,608e-3,73,150,,,1.138e-9
274,C0,608e-3,74,-40,,,945.3e-12
274,C1,608e-3,74,150,,,1.037e-9
275,C0,608e-3,75,-40,,,1.058e-9
275,C1,608e-3,75,150,,,1.143e-9
276,C0,608e-3,76,-40,,,1.117e-9
276,C1,608e-3,76,150,,,1.205e-9
277,C0,608e-3,77,-40,,,1.043e-9
277,C1,608e-3,77,150,,,1.127e-9
278,C0,608e-3,78,-40,,,1.026e-9
278,C1,608e-3,78,150,,,1.124e-9
279,C0,608e-3,79,-40,,,1.05e-9
279,C1,608e-3,79,150,,,1.124e-9
280,C0,608e-3,80,-40,,,1.022e-9
280,C1,608e-3,80,150,,,1.106e-9
281,C0,608e-3,81,-40,,,1.033e-9
281,C1,608e-3,81,150,,,1.099e-9
282,C0,608e-3,82,-40,,,1.089e-9
282,C1,608e-3,82,150,,,1.164e-9
283,C0,608e-3,83,-40,,,1.044e-9
283,C1,608e-3,83,150,,,1.148e-9
284,C0,608e-3,84,-40,,,995.4e-12
284,C1,608e-3,84,150,,,1.081e-9
285,C0,608e-3,85,-40,,,1.061e-9
285,C1,608e-3,85,150,,,1.154e-9
286,C0,608e-3,86,-40,,,1.039e-9
286,C1,608e-3,86,150,,,1.126e-9
287,C0,608e-3,87,-40,,,1.068e-9
287,C1,608e-3,87,150,,,1.143e-9
288,C0,608e-3,88,-40,,,969.5e-12
288,C1,608e-3,88,150,,,1.054e-9
289,C0,608e-3,89,-40,,,1.056e-9
289,C1,608e-3,89,150,,,1.149e-9
290,C0,608e-3,90,-40,,,1.03e-9
290,C1,608e-3,90,150,,,1.115e-9
291,C0,608e-3,91,-40,,,1.051e-9
291,C1,608e-3,91,150,,,1.126e-9
292,C0,608e-3,92,-40,,,1.01e-9
292,C1,608e-3,92,150,,,1.091e-9
293,C0,608e-3,93,-40,,,1.079e-9
293,C1,608e-3,93,150,,,1.182e-9
294,C0,608e-3,94,-40,,,1.073e-9
294,C1,608e-3,94,150,,,1.148e-9
295,C0,608e-3,95,-40,,,1.029e-9
295,C1,608e-3,95,150,,,1.114e-9
296,C0,608e-3,96,-40,,,1.042e-9
296,C1,608e-3,96,150,,,1.122e-9
297,C0,608e-3,97,-40,,,1.007e-9
297,C1,608e-3,97,150,,,1.095e-9
298,C0,608e-3,98,-40,,,1.072e-9
298,C1,608e-3,98,150,,,1.16e-9
299,C0,608e-3,99,-40,,,984.4e-12
299,C1,608e-3,99,150,,,1.046e-9
300,C0,608e-3,100,-40,,,1.051e-9
300,C1,608e-3,100,150,,,1.135e-9
301,C0,615e-3,1,-40,,,1.368e-9
301,C1,615e-3,1,150,,,1.458e-9
302,C0,615e-3,2,-40,,,1.344e-9
302,C1,615e-3,2,150,,,1.441e-9
303,C0,615e-3,3,-40,,,1.397e-9
303,C1,615e-3,3,150,,,1.495e-9
304,C0,615e-3,4,-40,,,1.336e-9
304,C1,615e-3,4,150,,,1.433e-9
305,C0,615e-3,5,-40,,,1.381e-9
305,C1,615e-3,5,150,,,1.479e-9
306,C0,615e-3,6,-40,,,1.293e-9
306,C1,615e-3,6,150,,,1.405e-9
