Point,Corner,Iin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
195,C1,108.6e-9,15,150,,,1.17e-9
196,C0,108.6e-9,16,-40,,,1.393e-9
196,C1,108.6e-9,16,150,,,1.284e-9
197,C0,108.6e-9,17,-40,,,1.362e-9
197,C1,108.6e-9,17,150,,,1.296e-9
198,C0,108.6e-9,18,-40,,,1.318e-9
198,C1,108.6e-9,18,150,,,1.213e-9
199,C0,108.6e-9,19,-40,,,1.427e-9
199,C1,108.6e-9,19,150,,,1.348e-9
200,C0,108.6e-9,20,-40,,,1.307e-9
200,C1,108.6e-9,20,150,,,1.277e-9
201,C0,108.6e-9,21,-40,,,1.411e-9
201,C1,108.6e-9,21,150,,,1.332e-9
202,C0,108.6e-9,22,-40,,,1.203e-9
202,C1,108.6e-9,22,150,,,979.2e-12
203,C0,108.6e-9,23,-40,,,1.396e-9
203,C1,108.6e-9,23,150,,,1.325e-9
204,C0,108.6e-9,24,-40,,,1.329e-9
204,C1,108.6e-9,24,150,,,1.25e-9
205,C0,108.6e-9,25,-40,,,1.383e-9
205,C1,108.6e-9,25,150,,,1.305e-9
206,C0,108.6e-9,26,-40,,,1.306e-9
206,C1,108.6e-9,26,150,,,1.171e-9
207,C0,108.6e-9,27,-40,,,1.373e-9
207,C1,108.6e-9,27,150,,,1.318e-9
208,C0,108.6e-9,28,-40,,,1.463e-9
208,C1,108.6e-9,28,150,,,1.379e-9
209,C0,108.6e-9,29,-40,,,1.338e-9
209,C1,108.6e-9,29,150,,,1.28e-9
210,C0,108.6e-9,30,-40,,,1.258e-9
210,C1,108.6e-9,30,150,,,1.155e-9
211,C0,108.6e-9,31,-40,,,1.387e-9
211,C1,108.6e-9,31,150,,,1.304e-9
212,C0,108.6e-9,32,-40,,,1.386e-9
212,C1,108.6e-9,32,150,,,1.319e-9
213,C0,108.6e-9,33,-40,,,1.36e-9
213,C1,108.6e-9,33,150,,,1.283e-9
214,C0,108.6e-9,34,-40,,,1.439e-9
214,C1,108.6e-9,34,150,,,1.351e-9
215,C0,108.6e-9,35,-40,,,1.342e-9
215,C1,108.6e-9,35,150,,,1.262e-9
216,C0,108.6e-9,36,-40,,,1.292e-9
216,C1,108.6e-9,36,150,,,1.211e-9
217,C0,108.6e-9,37,-40,,,1.384e-9
217,C1,108.6e-9,37,150,,,1.331e-9
218,C0,108.6e-9,38,-40,,,1.348e-9
218,C1,108.6e-9,38,150,,,1.281e-9
219,C0,108.6e-9,39,-40,,,1.366e-9
219,C1,108.6e-9,39,150,,,1.252e-9
220,C0,108.6e-9,40,-40,,,1.278e-9
220,C1,108.6e-9,40,150,,,1.201e-9
221,C0,108.6e-9,41,-40,,,1.386e-9
221,C1,108.6e-9,41,150,,,1.284e-9
222,C0,108.6e-9,42,-40,,,1.297e-9
222,C1,108.6e-9,42,150,,,1.217e-9
223,C0,108.6e-9,43,-40,,,1.43e-9
223,C1,108.6e-9,43,150,,,1.304e-9
224,C0,108.6e-9,44,-40,,,1.324e-9
224,C1,108.6e-9,44,150,,,1.249e-9
225,C0,108.6e-9,45,-40,,,1.417e-9
225,C1,108.6e-9,45,150,,,1.346e-9
